¿En qué año se celebró el primer Campeonato Mundial de Fórmula 1?,1950
¿Quién fue el primer campeón mundial de Fórmula 1?,Giuseppe Farina
¿Cuántos campeonatos mundiales ganó Juan Manuel Fangio?,5 campeonatos mundiales
¿Qué piloto ha ganado más campeonatos mundiales de Fórmula 1?,Michael Schumacher y Lewis Hamilton (7 cada uno)
¿En qué año se introdujeron los motores híbridos en la Fórmula 1?,2014
¿Cuál fue el primer equipo en ganar un campeonato de constructores?,Vanwall en 1958
¿Qué piloto ganó el campeonato mundial en 2021?,Max Verstappen
¿Qué piloto argentino ganó cinco campeonatos mundiales?,Juan Manuel Fangio
¿En qué año se celebró el primer Gran Premio de Mónaco?,1929
¿Qué piloto británico ganó su primer campeonato en 2008?,Lewis Hamilton
¿Qué piloto es apodado El Hombre de Hielo?,Kimi Räikkönen
¿Qué piloto español ha ganado dos campeonatos mundiales?,Fernando Alonso
¿Qué piloto brasileño ganó tres campeonatos mundiales antes de fallecer en 1994?,Ayrton Senna
¿Qué escudería ha ganado más campeonatos de constructores?,Ferrari
¿Qué piloto alemán ganó cuatro campeonatos consecutivos entre 2010 y 2013?,Sebastian Vettel
¿Qué piloto canadiense ganó el campeonato mundial en 1997?,Jacques Villeneuve
¿Qué piloto finlandés ganó el campeonato mundial en 2007?,Kimi Räikkönen
¿Qué piloto ganó su único campeonato mundial en 2016 y se retiró ese mismo año?,Nico Rosberg
¿Qué piloto australiano ganó tres campeonatos mundiales en la década de 1950 y 1960?,Jack Brabham
¿Qué piloto francés ganó cuatro campeonatos mundiales?,Alain Prost
¿Cuál es el circuito más largo del calendario actual de Fórmula 1?,Spa-Francorchamps (Bélgica)
¿Qué circuito alberga el Gran Premio de Italia?,Monza
¿En qué ciudad se celebra el Gran Premio de Mónaco?,Montecarlo
¿Cuál es el circuito nocturno más famoso de la Fórmula 1?,Marina Bay Street Circuit (Singapur)
¿Qué circuito es conocido por su curva Eau Rouge?,Spa-Francorchamps
¿En qué país se encuentra el circuito de Suzuka?,Japón
¿Qué circuito fue sede del primer Gran Premio de Fórmula 1 en 1950?,Silverstone (Reino Unido)
¿En qué ciudad se celebra el Gran Premio de Canadá?,Montreal
¿Cuál es el circuito más corto del calendario actual?,Circuito de Mónaco
¿En qué país se encuentra el circuito de Interlagos?,Brasil
¿Qué significa DRS en Fórmula 1?,Drag Reduction System
¿Qué componente de seguridad protege la cabeza del piloto en caso de impacto?,Halo
¿Qué es el porpoising en Fórmula 1?,Un efecto de rebote aerodinámico en rectas
¿Qué es el graining en los neumáticos?,Desgaste irregular que reduce el agarre
¿Qué es el blistering en los neumáticos?,Ampollas por sobrecalentamiento
¿Qué es el undercut en estrategia de carrera?,Parar antes que el rival para ganar posición
¿Qué es el overcut en estrategia de carrera?,Permanecer más tiempo en pista para ganar posición
¿Qué es el Safety Car?,Vehículo que lidera la carrera en condiciones peligrosas
¿Qué es una chicane?,Serie de curvas cerradas en el circuito
¿Qué es el rebufo en Fórmula 1?,Beneficio aerodinámico al seguir de cerca a otro coche
¿Qué piloto tiene más victorias en la historia de la Fórmula 1?,Lewis Hamilton
¿Qué piloto tiene más poles en la historia de la Fórmula 1?,Lewis Hamilton
¿Qué piloto tiene más podios en la historia de la Fórmula 1?,Lewis Hamilton
¿Qué escudería tiene más victorias en la historia de la Fórmula 1?,Ferrari
¿Qué escudería tiene más poles en la historia de la Fórmula 1?,Ferrari
¿Qué escudería tiene más podios en la historia de la Fórmula 1?,Ferrari
¿Qué piloto ha participado en más Grandes Premios?,Fernando Alonso
¿Qué piloto tiene más vueltas rápidas en la historia de la Fórmula 1?,Michael Schumacher
¿Qué piloto ha ganado más carreras en una sola temporada?,Max Verstappen (19 en 2023)
¿Qué piloto ha logrado más puntos en una sola temporada?,Max Verstappen (575 en 2023)
¿Qué es una parada en boxes en Fórmula 1?,Una detención breve del coche en el pit lane para cambiar neumáticos o reparar daños.
¿Cuántos compuestos de neumáticos secos proporciona Pirelli en un fin de semana típico?,Tres (duro, medio y blando).
¿Qué color tienen los neumáticos duros?,Blanco.
¿Qué color tienen los neumáticos medios?,Amarillo.
¿Qué color tienen los neumáticos blandos?,Rojo.
¿Cuántos juegos de neumáticos de lluvia existen?,Dos: intermedios y de lluvia extrema.
¿Qué ocurre si un piloto sale del pit lane con el semáforo en rojo?,Recibe una penalización, generalmente una sanción de tiempo o stop and go.
¿Qué es un pit stop perfecto?,Una parada en boxes sin errores, generalmente de menos de 2.5 segundos.
¿Cuál es el récord del pit stop más rápido en Fórmula 1?,1.82 segundos (Red Bull, GP Brasil 2019, Verstappen).
¿Qué es el límite de velocidad en el pit lane durante la carrera?,80 km/h en la mayoría de los circuitos.
¿Cuántas carreras hay en la temporada 2024 de Fórmula 1?,24 Grandes Premios.
¿Qué Gran Premio se disputa en Las Vegas?,El Gran Premio de Las Vegas.
¿Qué carrera suele cerrar la temporada?,El Gran Premio de Abu Dabi.
¿Qué Gran Premio se corre en el circuito de Zandvoort?,Gran Premio de Países Bajos.
¿Qué carrera es considerada la joya de la corona de la F1?,Gran Premio de Mónaco.
¿Qué país volvió al calendario en 2023 después de más de 40 años?,Sudáfrica (aunque la carrera fue propuesta, aún no se concretó).
¿Cuál fue la primera carrera de Fórmula 1 de la temporada 2024?,Gran Premio de Baréin.
¿En qué circuito se corre el Gran Premio de Hungría?,Hungaroring.
¿Qué Gran Premio se disputa en el circuito de Silverstone?,Gran Premio de Gran Bretaña.
¿Qué circuito se ubica en las calles de Bakú?,Circuito urbano de Bakú, Azerbaiyán.
¿Quién fue el fundador del equipo Red Bull Racing?,Dietrich Mateschitz.
¿Quién es el director del equipo Mercedes?,Toto Wolff.
¿Qué ex piloto brasileño es padre de otro ex piloto llamado Bruno?,Ayrton Senna (tío de Bruno Senna).
¿Qué piloto es conocido por usar el número 44?,Lewis Hamilton.
¿Qué número usa Max Verstappen desde su primer título?,Número 1.
¿Qué leyenda de la F1 murió en Imola en 1994?,Ayrton Senna.
¿Qué piloto ganó carreras con McLaren, Ferrari y Mercedes?,Fernando Alonso.
¿Qué ex campeón mundial también es músico de hip hop?,Lewis Hamilton (bajo seudónimo).
¿Qué piloto italiano ganó el título en 1953 con Ferrari?,Alberto Ascari.
¿Qué ingeniero es famoso por diseñar múltiples autos campeones, incluyendo para Red Bull?,Adrian Newey.
¿De qué país es originario Charles Leclerc?,Mónaco.
¿De qué país es Lando Norris?,Reino Unido (inglés con raíces belgas).
¿De qué país es Oscar Piastri?,Australia.
¿Cuál fue el primer piloto mexicano en ganar una carrera en F1 moderna?,Sergio Checo Pérez.
¿De qué país era Ayrton Senna?,Brasil.
¿Qué país ha producido más campeones del mundo?,Reino Unido.
¿Qué piloto colombiano corrió para Williams y McLaren?,Juan Pablo Montoya.
¿Quién fue el primer piloto japonés en subir al podio?,Aguri Suzuki (Suzuka 1990).
¿Quién fue el primer piloto chino en correr en F1?,Zhou Guanyu.
¿Quién es el piloto más exitoso de Finlandia en términos de títulos?,Mika Häkkinen (2 títulos).
